1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
887,691,947,794,941,794,868,1069,944,843,884,897,802,917,665,895,960,950,730,1109,791,870,859,1068,1048,910
881,687,942,806,931,812,865,1063,914,828,878,904,786,918,666,883,966,943,747,1113,783,882,854,1076,1043,887
905,691,941,813,920,805,855,1057,896,840,869,895,756,918,674,878,1000,942,771,1107,778,900,852,1076,1014,917
864,689,944,811,905,776,845,1034,871,843,860,892,772,921,672,877,998,938,787,1092,774,940,858,1071,1042,922
862,695,942,806,892,762,831,1025,840,843,857,902,753,927,675,879,954,933,802,1082,782,937,854,1064,1064,925
870,720,946,785,887,796,850,1012,819,814,880,832,755,920,667,882,920,938,827,1054,769,893,851,1063,1019,902
889,707,947,775,904,771,856,988,830,810,874,807,765,918,661,887,886,948,832,1030,765,936,844,1065,985,878
869,696,941,772,906,764,878,978,904,823,851,805,781,932,659,888,862,955,823,984,765,921,846,1059,1003,854
884,687,945,778,895,780,888,992,928,796,856,825,771,928,660,889,854,956,806,989,771,880,846,1060,992,848
889,672,956,778,933,788,868,979,937,802,871,854,793,937,661,883,850,951,812,979,773,973,840,1052,977,853
883,682,969,782,945,775,864,987,885,848,873,827,794,930,669,911,861,957,823,976,759,958,838,1050,947,860
889,702,976,788,918,769,872,1011,930,848,847,832,776,912,656,928,898,936,786,977,760,904,840,1067,997,924
876,711,977,804,916,771,881,1007,956,836,833,870,789,904,655,913,930,929,750,947,766,893,846,1078,1021,925
863,699,973,803,926,760,885,990,937,845,860,843,775,901,655,908,918,935,732,954,764,916,857,1076,973,940
810,702,957,804,937,745,881,1037,920,845,847,846,745,903,653,947,889,959,741,972,751,837,845,1079,946,917
782,711,968,805,943,740,900,1030,946,816,819,882,729,904,647,953,918,944,763,969,748,802,841,1079,982,878
761,711,960,806,925,737,933,991,973,818,845,923,714,909,658,935,933,913,779,970,757,795,837,1071,976,856
748,688,954,823,902,756,911,1017,937,809,891,881,708,924,664,930,934,910,793,985,746,782,848,1073,931,848
752,684,975,812,904,766,893,1050,946,801,855,900,717,929,660,949,909,921,820,962,740,932,838,1059,978,863
802,687,981,802,929,758,881,1072,974,803,837,927,724,911,666,951,918,953,856,937,748,950,833,1067,973,891
788,698,954,773,929,759,854,1065,973,797,885,866,749,911,671,941,931,950,854,969,765,866,841,1081,925,898
793,700,951,772,939,766,859,1058,907,798,882,873,790,911,665,951,940,939,846,988,773,905,846,1083,960,880
927,708,959,782,919,747,867,1051,910,823,820,894,793,894,665,940,937,954,817,960,775,941,847,1081,983,861
875,723,935,779,915,730,856,1031,942,820,851,861,762,894,664,923,934,923,770,971,766,866,841,1064,985,852
825,720,928,781,938,755,862,1024,951,816,864,893,771,901,663,906,937,910,749,985,775,877,843,1065,922,838
896,694,944,784,949,766,884,1017,878,819,847,916,785,891,662,916,981,912,727,965,791,987,847,1056,969,831
909,692,942,782,953,756,939,1002,895,819,822,891,735,912,668,912,1009,937,734,968,778,1013,836,1047,963,870
836,697,946,794,939,735,979,998,967,845,880,862,722,929,683,898,1002,937,740,976,761,962,831,1044,956,902
911,696,941,784,923,749,982,1000,998,843,898,885,753,909,687,913,994,940,753,958,764,933,829,1044,921,883
972,687,947,793,937,756,957,977,971,824,847,926,771,896,683,910,954,905,768,952,766,996,830,1045,988,880
869,696,955,802,945,737,932,975,985,811,844,876,739,909,669,896,982,896,782,969,763,1028,833,1073,1017,857
900,706,936,806,943,727,909,981,1021,819,872,898,740,898,660,903,1016,902,792,963,755,1039,825,1085,1048,847
938,690,941,823,944,754,918,989,1032,816,805,906,773,896,652,913,1028,930,793,962,756,980,825,1093,1014,853
836,707,946,810,917,762,916,998,996,791,792,878,787,887,648,908,1035,948,785,960,767,918,833,1097,1043,883
873,708,932,812,922,771,939,1023,994,792,809,888,743,868,647,907,1001,948,802,955,768,975,832,1099,1039,890
905,697,931,817,953,745,939,1031,1008,807,823,904,750,858,656,914,963,912,800,961,763,1025,825,1098,998,904
963,694,937,813,954,755,968,1031,992,827,789,895,772,852,652,920,1000,884,787,958,761,1007,819,1095,973,887
918,688,933,804,932,766,982,1040,946,815,821,877,763,854,661,920,1003,891,769,948,773,939,834,1079,987,883
889,678,923,781,920,782,980,1029,965,816,855,900,745,850,656,932,1001,915,793,936,775,946,833,1061,984,870
820,664,940,764,931,766,987,1004,993,799,860,894,742,836,647,923,960,939,796,936,760,1021,824,1056,976,859
846,657,937,773,930,747,970,990,972,812,852,871,760,846,633,917,925,958,803,960,751,1038,819,1052,947,852
979,675,929,805,944,740,970,994,943,817,822,885,753,835,620,910,972,961,785,943,759,967,832,1050,995,878
886,688,920,792,933,760,957,983,988,813,832,911,724,846,617,899,987,957,783,951,760,937,827,1055,1052,901
923,696,929,791,916,779,950,999,997,833,848,901,742,859,617,907,979,918,796,968,757,1013,822,1049,1022,911
993,717,937,791,940,772,966,997,984,823,862,892,760,851,639,899,948,901,798,964,750,968,809,1038,1022,898
876,739,931,802,956,739,979,998,966,822,826,918,753,854,646,901,987,883,794,960,760,997,811,1044,1048,897
898,744,928,830,961,760,980,986,993,827,824,939,728,853,652,906,1031,911,791,951,771,886,818,1043,1047,892
884,734,935,828,926,774,990,1005,986,819,834,908,767,847,649,922,1036,961,808,959,773,863,821,1043,998,890
835,719,933,826,918,761,983,1007,964,829,855,904,787,868,662,922,1005,957,829,979,764,899,813,1034,1016,881
858,728,910,792,946,739,977,984,967,838,873,927,790,893,654,908,944,957,831,987,768,996,811,1030,1000,874
875,730,897,782,940,750,972,985,969,822,846,932,745,892,652,910,944,928,816,986,779,941,828,1030,970,847
836,718,870,779,936,755,949,999,994,808,808,901,749,897,646,919,977,902,810,996,773,928,820,1026,944,842
879,725,867,776,923,761,942,987,978,826,810,929,755,925,645,901,987,909,803,1000,772,956,817,1033,997,829
943,722,883,772,929,749,893,979,998,821,825,932,742,925,646,904,983,930,776,1004,770,845,820,1043,998,865
884,716,891,770,950,743,852,997,994,829,847,902,745,901,649,917,955,950,746,1012,757,798,816,1043,983,885
