1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1065,942,939,892,817,713,880,661,776,633,550,793,934,786,952,756,1071,531,606,1065,942,939,892,817,713,880
1061,944,955,891,815,713,875,661,774,633,550,787,943,790,946,757,1062,533,606,1061,944,955,891,815,713,875
1061,951,950,889,820,715,873,661,767,635,554,771,943,809,960,759,1050,531,606,1061,951,950,889,820,715,873
1039,945,924,887,812,717,885,662,773,638,551,783,935,823,943,760,1041,532,607,1039,945,924,887,812,717,885
1122,944,898,888,819,717,886,662,773,634,556,791,938,835,945,757,1038,533,606,1122,944,898,888,819,717,886
1080,960,933,889,822,716,884,662,774,636,547,791,921,844,936,760,1045,532,608,1080,960,933,889,822,716,884
1122,942,958,887,821,714,868,662,767,640,551,771,932,850,946,764,1047,531,609,1122,942,958,887,821,714,868
1101,957,965,890,821,711,869,661,764,640,557,798,956,854,935,765,1052,531,612,1101,957,965,890,821,711,869
1157,962,946,889,823,704,861,663,773,639,563,792,952,846,945,756,1053,532,611,1157,962,946,889,823,704,861
1118,953,956,888,824,708,863,661,772,638,575,772,915,849,929,765,1055,531,611,1118,953,956,888,824,708,863
1164,961,967,886,820,704,852,663,762,646,591,792,911,854,950,763,1073,530,611,1164,961,967,886,820,704,852
1126,961,979,886,820,708,850,662,771,644,594,799,919,867,933,761,1056,530,613,1126,961,979,886,820,708,850
1155,937,937,889,821,705,852,663,780,640,595,787,891,865,946,766,1066,534,612,1155,937,937,889,821,705,852
1167,968,912,884,821,705,863,662,769,645,595,770,893,838,936,760,1059,529,614,1167,968,912,884,821,705,863
1140,956,934,885,817,734,880,662,780,634,595,781,904,831,961,769,1065,529,611,1140,956,934,885,817,734,880
1181,958,979,886,820,719,884,662,781,635,596,789,869,842,954,766,1072,531,616,1181,958,979,886,820,719,884
1115,967,989,887,821,711,881,664,768,640,600,780,871,795,951,772,1068,533,617,1115,967,989,887,821,711,881
1147,959,928,891,815,716,890,663,786,647,593,755,895,794,945,771,1080,529,618,1147,959,928,891,815,716,890
1141,971,924,896,824,715,901,663,775,650,596,769,913,860,968,762,1061,528,617,1141,971,924,896,824,715,901
1166,970,960,893,820,714,905,663,765,651,600,767,844,832,947,769,1067,529,619,1166,970,960,893,820,714,905
1167,968,992,896,823,719,905,662,763,652,612,765,911,828,938,766,1055,534,620,1167,968,992,896,823,719,905
1094,973,954,888,822,716,893,664,761,652,612,739,915,817,954,761,1050,528,618,1094,973,954,888,822,716,893
1173,960,930,898,827,718,896,664,758,646,617,747,908,821,936,776,1054,528,617,1173,960,930,898,827,718,896
1187,946,990,896,823,714,897,665,756,647,625,752,923,806,961,765,1052,530,617,1187,946,990,896,823,714,897
1184,965,988,888,826,727,896,661,760,644,628,745,939,799,951,760,1042,532,615,1184,965,988,888,826,727,896
1176,968,1002,895,823,720,894,665,770,642,626,729,927,810,935,773,1056,529,612,1176,968,1002,895,823,720,894
1196,954,937,885,826,713,890,666,764,640,625,743,930,818,954,760,1062,526,615,1196,954,937,885,826,713,890
