1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
620,601,682,622,663,677,718,724,911,738,628,580,801,654,608,769,694,876,559,687,785,821,687,739,760,1163
617,593,693,626,651,696,716,717,946,734,631,582,800,661,617,774,691,854,560,691,782,813,691,735,762,1164
615,591,711,633,635,684,711,720,965,729,629,592,827,669,615,778,682,816,562,698,776,794,698,732,765,1161
615,590,731,637,669,677,718,722,975,728,621,581,823,680,621,778,668,837,565,695,782,816,695,728,769,1155
618,599,689,637,678,672,717,756,984,729,620,579,861,687,602,773,655,876,566,695,779,821,695,729,773,1179
618,623,704,642,675,665,713,778,968,747,624,580,848,688,631,763,648,886,566,686,778,798,686,731,774,1153
615,631,684,648,653,658,702,778,1011,754,615,583,855,687,612,754,650,844,567,710,772,785,710,732,765,1169
616,656,683,646,651,656,688,786,1015,775,607,588,867,681,630,748,647,900,564,696,769,806,696,728,746,1142
604,635,662,643,677,649,678,767,942,792,606,582,861,680,634,751,661,910,564,705,763,819,705,729,758,1168
613,664,653,646,655,656,672,760,979,806,608,591,875,681,635,746,651,911,562,702,763,778,702,727,765,1158
609,671,651,644,654,653,670,770,1013,781,604,589,857,679,631,754,651,894,562,707,768,779,707,727,760,1147
606,647,642,640,669,659,667,759,1003,767,594,592,807,679,640,750,668,888,561,709,785,753,709,738,748,1187
612,631,628,635,672,658,682,786,982,765,596,594,820,664,626,742,680,896,560,709,783,740,709,716,744,1143
603,628,617,638,671,657,683,801,1014,755,607,595,793,670,629,740,709,838,562,709,781,735,709,711,762,1153
593,640,616,639,662,654,713,806,1009,743,607,588,790,673,644,756,699,818,562,698,788,741,698,713,762,1159
585,623,633,638,660,646,717,825,956,741,608,590,801,694,642,793,669,809,562,722,773,739,722,723,789,1135
578,630,673,640,673,653,732,825,993,736,604,578,776,687,626,797,704,827,565,715,763,769,715,732,765,1166
572,636,714,644,649,642,729,831,972,764,610,585,765,696,631,808,689,883,566,716,759,817,716,733,747,1126
567,641,690,638,646,641,737,846,923,731,623,582,746,685,634,798,702,843,569,705,762,827,705,740,751,1131
564,621,689,640,648,641,730,829,945,742,616,586,727,686,627,765,698,825,570,714,785,812,714,747,760,1151
568,625,718,643,675,637,727,862,965,708,610,590,776,683,634,752,663,815,571,706,769,816,706,731,763,1138
547,619,696,639,681,640,729,882,977,746,612,579,733,682,642,764,684,796,573,718,758,842,718,721,745,1165
533,615,670,640,665,651,733,832,930,697,604,576,792,675,635,763,680,809,573,708,762,840,708,725,738,1161
535,631,674,634,674,655,723,837,948,682,597,573,831,668,656,779,659,821,572,708,784,812,708,724,711,1134
545,640,686,633,679,656,729,862,962,683,598,578,848,658,657,761,687,906,576,716,781,812,716,712,707,1107
555,633,666,633,676,657,716,801,965,703,597,573,794,659,656,758,707,865,574,709,772,822,709,710,710,1117
562,623,656,629,647,659,707,771,914,725,602,575,806,660,649,760,714,880,576,723,767,819,723,709,723,1125
590,628,702,626,646,659,704,836,947,703,600,573,791,667,650,747,702,817,578,714,772,796,714,726,758,1148
601,622,690,625,668,662,711,816,962,776,593,566,777,662,621,744,685,803,578,716,777,815,716,716,776,1117
612,627,716,627,664,658,700,785,956,737,600,565,740,663,644,755,699,780,577,710,784,832,710,719,787,1155
602,623,757,624,650,656,709,823,946,778,599,558,745,664,638,778,681,767,579,704,770,813,704,717,760,1161
606,625,743,628,643,654,707,841,968,705,594,553,727,673,628,780,665,798,578,705,771,786,705,711,756,1097
596,633,761,629,644,647,707,810,944,706,586,557,736,679,642,793,659,881,577,702,770,798,702,718,757,1172
597,611,772,626,626,631,703,832,919,687,592,561,760,676,622,795,643,873,575,694,754,818,694,717,742,1146
592,608,743,624,630,640,712,845,951,671,591,556,762,668,604,777,665,820,572,699,747,827,699,696,737,1147
599,609,705,626,649,646,717,812,956,690,584,561,789,671,623,783,689,784,569,699,744,805,699,692,731,1115
595,599,723,625,643,646,721,821,925,705,585,561,828,670,620,782,719,775,565,691,743,805,691,691,738,1188
601,598,749,625,629,652,722,791,949,762,587,564,822,666,613,780,688,757,567,723,749,828,723,710,756,1155
600,597,767,626,644,663,722,809,971,813,586,562,826,665,634,772,729,781,562,713,751,835,713,730,768,1152
606,592,738,624,643,669,734,796,952,818,577,559,822,657,647,758,702,825,564,705,734,808,705,731,752,1189
612,611,762,621,640,681,737,779,920,824,580,560,808,654,649,735,709,897,564,699,744,809,699,743,742,1125
605,611,785,620,621,676,725,799,950,798,583,550,779,672,646,766,708,829,564,705,760,834,705,741,751,1152
610,613,753,621,622,681,735,781,964,798,580,559,754,661,672,798,686,782,564,709,777,821,709,739,779,1155
604,616,760,619,636,676,729,788,923,754,585,590,730,664,672,800,707,766,564,712,788,793,712,761,787,1172
604,630,750,619,613,663,723,799,946,754,600,575,727,663,630,812,691,749,565,712,754,814,712,768,786,1108
606,646,716,621,612,663,727,778,970,750,610,570,694,660,635,789,686,762,565,715,730,831,715,776,774,1128
604,602,688,621,631,658,724,772,964,741,605,568,701,645,622,760,708,782,563,721,716,828,721,774,764,1184
596,605,702,624,617,656,720,770,917,738,609,572,696,647,638,751,691,742,564,717,706,798,717,759,770,1126
598,617,693,629,640,663,722,758,937,754,611,577,740,639,651,745,673,797,562,711,699,811,711,747,772,1159
605,631,674,630,649,661,729,742,952,765,610,591,790,633,666,733,690,866,562,704,706,822,704,733,776,1158
607,615,678,630,647,666,734,735,920,764,596,591,781,627,661,788,719,852,563,709,725,818,709,747,765,1144
604,616,681,633,633,658,725,728,933,752,594,588,782,630,657,797,711,862,563,702,732,792,702,762,750,1178
585,611,696,639,625,659,730,715,967,713,604,602,787,631,653,817,670,910,564,697,746,800,697,760,784,1177
575,608,721,633,641,659,738,699,970,761,599,602,780,629,665,813,692,931,565,696,803,825,696,758,804,1130
573,608,707,635,651,658,732,697,947,741,591,614,807,628,656,808,714,870,567,697,818,834,697,729,803,1155
570,606,719,640,632,656,733,704,986,750,591,604,776,631,659,819,721,850,571,691,785,810,691,710,775,1140
566,623,779,642,617,664,739,708,995,707,592,611,763,642,681,774,698,833,570,687,764,818,687,708,770,1172
551,634,763,640,633,680,742,696,942,736,585,611,734,643,683,803,732,825,571,713,769,837,713,706,786,1139
543,639,747,645,648,684,735,689,973,714,576,601,723,644,677,797,720,853,575,707,759,823,707,728,793,1147
532,633,758,641,680,668,736,679,967,739,577,605,708,639,706,752,706,863,574,691,729,798,691,745,791,1156
528,630,735,642,652,687,735,666,923,744,574,603,713,638,691,747,714,879,573,699,719,795,699,746,773,1156
538,636,750,646,633,695,735,650,960,729,572,603,750,644,651,754,687,853,574,695,720,817,695,735,777,1171
548,630,763,649,655,703,728,660,980,731,564,596,732,662,660,753,687,839,573,711,720,815,711,725,795,1178
557,624,730,648,661,687,727,657,979,742,570,595,725,653,623,771,692,821,571,705,713,810,705,720,810,1155
569,623,736,646,647,694,729,665,972,757,572,593,721,656,664,785,688,821,570,718,710,825,718,724,792,1152
591,618,713,655,638,699,722,664,994,739,568,587,739,655,620,767,673,826,567,685,729,847,685,721,787,1138
631,618,707,652,649,698,729,677,997,733,562,591,779,657,641,773,669,885,565,685,736,812,685,721,780,1135
625,621,694,650,642,692,730,671,956,749,566,605,750,661,646,772,688,900,563,717,738,797,717,711,783,1162
613,635,688,653,650,678,741,684,979,737,570,605,768,671,664,787,707,923,559,715,729,818,715,714,767,1109
604,624,702,650,622,672,738,682,971,749,568,602,769,667,655,781,723,873,557,715,732,805,715,731,764,1143
606,643,715,646,619,674,740,696,922,776,558,611,762,653,674,790,720,853,555,715,764,785,715,736,788,1123
607,635,725,646,633,673,738,703,944,760,550,609,744,649,695,760,695,832,553,716,752,773,716,737,779,1128
609,652,730,647,634,659,743,695,959,740,551,621,748,661,688,750,697,828,556,712,734,782,712,729,783,1130
615,645,721,646,623,660,731,718,939,753,556,615,737,660,671,731,718,834,556,717,755,786,717,713,786,1166
619,635,733,649,621,662,728,719,949,748,554,612,739,661,675,718,733,866,558,703,787,789,703,707,768,1181
605,637,729,655,647,680,725,741,979,733,550,616,769,649,670,713,727,896,559,713,763,796,713,705,759,1109
599,643,718,651,666,687,723,748,968,769,546,602,817,649,681,698,696,903,560,712,763,777,712,710,771,1125
611,646,731,654,650,707,718,738,938,767,553,604,810,651,656,693,680,860,561,701,750,789,701,713,773,1124
612,640,721,657,635,697,723,759,967,770,555,598,837,655,629,693,685,868,563,726,773,805,726,720,780,1179
609,641,688,659,661,715,718,745,968,768,554,596,832,651,628,696,684,883,563,723,772,801,723,720,755,1101
602,631,695,658,665,687,723,747,945,768,551,600,853,646,626,703,687,924,566,723,768,775,723,712,754,1102
603,649,677,661,681,687,723,761,948,780,558,593,837,643,651,740,664,883,568,722,774,790,722,708,767,1105
604,654,694,664,671,678,727,750,957,782,561,607,847,638,657,765,652,834,570,725,801,780,725,715,766,1161
604,649,702,664,684,662,720,789,954,797,554,594,824,635,674,767,658,833,575,724,766,764,724,715,774,1087
597,634,702,663,692,662,720,774,918,806,551,594,832,645,689,782,672,869,574,728,797,768,728,729,769,1181
598,626,727,668,691,652,725,761,950,779,549,588,799,636,703,781,687,886,575,710,809,762,710,725,758,1101
598,644,721,670,660,651,724,785,964,777,550,575,763,654,697,771,687,873,577,714,829,756,714,715,763,1088
604,646,713,664,640,647,724,782,942,763,547,581,756,639,704,750,682,843,576,729,770,819,729,710,770,1177
604,652,731,668,655,648,720,778,934,772,541,570,724,645,658,743,666,837,575,737,825,821,737,699,770,1097
612,631,713,670,668,639,724,801,948,778,542,570,758,652,661,728,676,842,575,723,821,816,723,697,735,1130
602,632,705,667,669,626,724,790,949,779,543,576,788,643,646,745,680,874,572,721,768,802,721,711,739,1103
601,642,681,665,660,630,725,775,913,752,545,576,775,646,651,785,687,911,570,704,764,828,704,716,750,1109
598,636,669,671,679,646,725,796,943,742,541,572,794,659,646,796,675,887,570,711,762,840,711,718,730,1114
597,633,662,669,695,661,726,775,964,733,542,567,775,664,662,771,660,848,568,706,769,791,706,714,770,1177
596,620,643,668,683,679,722,764,962,731,546,561,781,669,687,784,662,840,569,706,764,791,706,705,796,1181
595,635,647,668,651,679,720,777,958,744,549,559,801,663,689,779,679,854,566,695,744,827,695,698,786,1149
599,633,641,668,652,675,717,771,976,795,548,555,790,673,701,782,706,850,567,726,762,843,726,696,783,1179
599,626,627,663,662,679,717,772,977,815,543,556,802,674,717,765,725,869,568,716,781,802,716,712,760,1169
610,624,626,662,679,681,717,791,939,834,545,553,834,680,714,764,711,910,567,720,752,784,720,721,761,1131
606,622,626,666,654,673,719,785,961,842,552,551,828,680,683,801,690,914,568,712,753,822,712,729,757,1160
601,639,622,662,638,657,723,772,974,838,558,552,836,683,684,810,678,844,570,709,779,825,709,725,756,1163
601,631,613,658,652,646,719,779,969,831,554,555,821,678,656,831,689,919,568,709,765,814,709,715,761,1135
610,624,613,663,673,647,720,786,946,818,551,556,827,679,639,821,699,849,568,709,747,812,709,728,746,1165
602,621,615,668,676,659,717,776,982,796,558,560,817,678,662,792,713,852,567,700,747,840,700,725,748,1115
597,621,614,663,651,673,725,779,988,800,560,567,790,680,687,779,709,836,569,689,756,830,689,726,765,1138
598,632,621,670,660,689,721,801,983,789,562,570,828,682,695,784,677,833,568,733,744,795,733,712,776,1160
602,644,626,670,693,706,725,796,976,777,559,587,846,685,684,804,676,851,567,719,741,798,719,698,771,1126
603,643,632,670,681,726,725,788,985,767,558,589,823,678,699,824,681,869,567,716,735,813,716,706,762,1152
598,633,635,667,662,735,728,799,966,775,562,595,867,672,709,838,688,900,567,709,740,813,709,713,766,1116
599,629,630,669,653,727,729,800,944,776,563,587,875,680,701,816,692,902,566,707,741,790,707,714,786,1090
592,633,629,670,647,744,730,792,971,762,562,572,857,673,729,790,671,905,566,697,746,773,697,718,780,1135
596,626,633,663,627,745,728,803,970,779,558,559,888,672,750,756,672,841,565,710,730,794,710,707,783,1089
595,641,625,658,617,765,733,795,940,761,562,562,854,668,703,730,678,877,566,700,743,826,700,705,760,1105
590,626,625,657,640,749,739,772,957,761,563,560,818,663,689,728,715,851,566,717,745,832,717,714,764,1150
593,633,637,654,654,738,741,796,972,761,566,557,846,671,673,747,721,839,566,710,747,804,710,724,772,1118
598,648,641,646,665,721,741,788,973,743,562,550,843,675,661,788,728,833,567,716,729,813,716,712,772,1105
597,600,650,649,647,704,743,772,951,731,568,556,799,680,647,806,732,840,570,714,733,826,714,705,776,1152
597,599,663,646,672,711,744,790,979,727,571,563,798,676,671,805,730,887,571,717,741,816,717,709,755,1104
590,649,650,647,667,709,744,785,989,736,573,566,770,673,692,785,703,891,573,710,742,795,710,710,760,1123
589,625,676,640,669,706,736,771,956,694,572,571,777,683,698,795,690,889,576,711,736,813,711,687,781,1154
594,628,659,640,639,692,736,774,977,766,563,586,750,684,685,839,678,874,576,713,744,823,713,678,770,1097
599,639,659,637,662,694,735,775,983,770,558,584,760,687,713,866,672,837,578,719,741,813,719,674,771,1078
599,635,676,632,652,690,732,755,964,780,561,583,769,687,724,854,670,833,578,709,739,790,709,679,779,1077
598,630,687,629,638,692,733,754,944,787,563,590,799,684,658,848,669,817,578,721,733,794,721,685,764,1074
594,642,663,632,645,682,734,775,970,789,558,586,780,694,633,836,652,820,577,714,756,808,714,671,768,1108
596,646,673,630,670,687,740,760,977,773,551,590,779,690,639,800,651,861,575,714,752,804,714,677,783,1072
600,655,699,635,676,683,734,751,932,750,547,593,801,685,647,788,659,869,574,715,748,787,715,696,779,1037
603,663,704,633,652,674,734,745,881,744,549,603,771,680,642,789,656,882,575,703,738,808,703,719,772,1056
595,664,728,639,645,669,731,726,841,770,550,599,746,672,652,803,674,853,574,702,733,806,702,695,760,1086
601,647,761,645,653,687,734,718,809,800,550,594,770,670,654,825,663,840,576,716,745,791,716,687,778,1051
605,665,791,640,667,707,740,714,784,797,549,601,743,672,668,823,640,831,576,704,742,803,704,675,774,1153
601,667,773,643,651,720,729,720,763,771,561,595,772,660,663,821,648,821,579,721,734,819,721,655,776,1150
599,667,811,647,650,703,728,760,765,771,575,602,789,658,646,817,665,834,579,711,718,811,711,668,755,1095
595,664,825,646,651,697,731,754,719,771,585,600,813,651,623,806,642,895,582,717,750,788,717,672,760,1144
597,639,790,641,646,702,727,738,708,766,593,595,818,656,615,812,651,890,581,711,755,797,711,703,769,1045
597,653,797,641,627,695,728,758,733,767,600,592,790,650,621,826,651,889,582,717,759,816,717,673,771,1174
600,664,814,645,632,685,729,770,686,747,601,598,784,650,607,826,638,883,581,712,734,818,712,658,771,1145
604,647,771,639,648,680,733,774,675,775,611,594,774,646,627,828,631,845,580,718,742,798,718,660,754,1088
594,646,789,637,651,674,727,761,663,804,608,596,817,647,671,834,638,833,579,712,761,792,712,663,762,1120
593,630,800,639,638,687,729,785,659,816,601,598,854,646,715,815,634,826,579,722,753,811,722,687,761,1086
596,629,778,641,645,697,732,763,636,829,593,606,871,649,671,808,633,811,580,716,740,821,716,687,763,1166
595,645,786,640,651,696,737,760,632,846,592,607,861,640,686,797,631,831,580,720,743,797,720,723,755,1155
588,655,805,639,646,710,746,771,646,818,591,604,810,628,709,797,642,860,582,719,740,783,719,704,748,1110
589,635,788,644,653,739,739,770,641,817,588,604,795,615,717,793,653,885,585,717,720,801,717,686,743,1177
581,636,823,644,626,724,740,763,648,798,583,602,734,642,757,795,674,815,583,722,716,806,722,681,755,1061
573,629,809,641,632,731,735,783,664,770,587,591,742,632,729,788,700,876,587,717,710,812,717,704,751,1148
567,627,784,645,625,724,729,775,675,749,585,591,773,625,739,785,707,808,586,717,716,787,717,723,740,1141
560,646,813,646,616,702,730,771,684,755,582,585,821,626,737,786,712,797,586,705,729,804,705,733,732,1068
556,646,805,643,606,695,724,796,666,773,575,585,833,634,747,796,701,797,584,723,712,822,723,698,739,1138
547,641,787,644,600,689,720,789,670,787,575,581,808,646,697,807,676,814,580,719,712,820,719,682,748,1178
545,629,839,647,599,676,716,780,703,791,576,583,800,638,689,813,706,845,577,719,722,795,719,693,740,1057
547,630,812,642,601,657,717,798,698,812,576,585,785,644,675,808,702,885,572,719,705,797,719,719,724,1144
562,642,795,643,603,642,722,798,698,848,574,597,763,641,685,796,675,912,570,723,701,797,723,738,706,1171
564,646,807,645,596,645,728,786,689,863,566,610,744,646,676,762,685,895,567,720,739,792,720,743,698,1058
574,638,786,641,600,646,728,795,689,859,569,604,731,646,676,757,697,854,563,716,732,781,716,701,703,1080
591,636,742,640,632,649,733,793,677,837,579,606,724,657,683,745,685,820,562,716,758,783,716,697,714,1058
607,622,759,644,667,656,733,782,663,846,580,604,729,652,666,766,660,813,558,711,778,790,711,692,753,1062
606,641,773,641,662,663,742,801,653,839,573,611,754,656,663,769,662,808,558,724,786,794,724,728,761,1045
598,648,770,637,639,673,735,803,646,805,572,605,776,650,654,788,677,825,553,718,788,784,718,717,765,1069
602,645,754,643,628,684,742,787,646,794,575,604,768,645,671,769,682,884,554,722,771,789,722,733,744,1033
601,635,768,640,651,678,741,771,647,760,585,604,788,636,667,748,670,877,552,722,764,797,722,694,745,1012
600,629,755,637,651,685,741,775,649,770,588,592,773,631,692,730,692,838,547,724,769,798,724,694,755,1020
598,621,752,642,656,690,741,757,662,776,588,590,812,634,727,722,706,852,546,719,758,791,719,687,761,1150
594,625,768,645,634,683,735,751,678,783,589,587,822,643,736,727,692,899,545,726,734,803,726,713,754,1104
595,639,745,642,628,670,732,778,682,809,587,588,787,636,740,741,676,833,545,713,722,805,713,722,732,1065
598,624,749,650,640,667,731,793,688,827,590,590,774,637,751,728,704,838,544,726,731,778,726,709,721,1109
606,621,751,650,653,669,736,780,688,823,593,589,774,643,743,710,710,829,547,724,743,740,724,716,743,1086
607,624,723,649,631,679,735,799,688,806,588,600,771,631,694,693,699,851,548,726,752,718,726,689,760,1067
610,624,734,650,630,689,738,788,695,775,583,596,798,645,674,697,672,870,548,722,742,708,722,689,763,1135
608,637,729,654,638,699,742,810,686,765,576,596,795,642,687,710,673,873,550,721,732,704,721,711,748,1169
611,625,706,653,646,718,746,819,669,742,572,594,841,642,670,733,684,890,549,720,757,723,720,685,734,1034
616,629,710,652,641,724,744,802,661,741,578,597,799,651,687,732,689,865,547,719,767,782,719,683,742,1179
611,619,700,653,631,721,746,818,652,759,582,585,777,652,689,731,671,849,549,727,766,844,727,659,752,1184
614,614,670,653,631,721,747,801,634,786,578,581,765,658,695,730,680,836,548,713,733,806,713,652,776,1051
610,629,670,648,640,735,742,800,635,791,574,580,734,655,695,716,696,820,546,726,741,781,726,646,782,1164
620,619,685,650,656,727,740,813,640,773,581,578,721,659,687,690,700,821,547,720,765,789,720,694,753,1108
608,624,669,654,655,727,730,812,646,781,586,575,722,646,684,712,699,834,546,722,752,793,722,722,732,1078
604,621,691,648,677,744,717,817,671,771,585,578,699,650,692,764,719,859,543,716,746,773,716,707,762,1138
600,623,711,652,689,743,710,813,690,755,580,577,724,652,690,787,732,885,543,712,737,759,712,690,771,1154
602,625,700,654,683,736,708,810,686,750,578,583,733,654,688,801,706,895,539,710,731,799,710,701,773,1033
602,619,691,648,664,735,702,811,689,738,586,589,760,647,682,790,703,835,538,707,740,801,707,714,747,1168
596,618,699,649,671,737,698,819,696,737,589,591,754,655,688,782,709,875,539,709,756,802,709,725,743,1061
586,621,698,653,659,731,704,814,694,732,585,591,763,654,681,794,702,900,536,704,734,768,704,719,766,1144
595,619,693,653,651,738,712,841,711,749,580,590,759,655,670,780,680,829,537,704,725,789,704,696,778,1128
590,625,697,655,638,735,721,853,712,763,585,589,778,641,676,752,671,818,537,701,723,821,701,706,775,1084
594,629,716,660,646,738,716,833,717,794,594,600,759,650,692,740,676,827,539,698,728,816,698,697,761,1082
604,624,708,660,651,742,716,832,727,796,590,592,751,648,687,763,680,830,536,703,729,784,703,743,772,1169
602,616,704,660,668,742,716,825,730,785,590,596,741,650,715,806,681,881,535,697,722,774,697,761,768,1035
616,619,701,666,645,741,722,805,738,792,588,588,742,651,685,802,670,895,538,701,716,791,701,771,775,1156
613,628,689,669,664,736,719,806,760,783,590,588,735,634,728,786,689,892,534,700,720,796,700,773,777,1121
607,630,699,668,665,739,714,831,770,768,584,588,756,647,714,764,703,892,536,699,715,766,699,736,757,1090
610,635,729,670,687,745,719,809,771,731,584,585,750,643,726,744,708,854,536,702,703,754,702,729,767,1110
604,612,736,675,656,751,719,812,756,720,592,578,776,636,720,754,690,835,534,701,699,782,701,722,783,1119
609,609,726,674,669,773,721,848,762,728,596,577,752,653,729,761,688,827,536,703,721,796,703,719,780,1085
604,604,753,673,676,781,722,821,769,723,600,578,757,641,687,758,692,824,537,706,738,792,706,697,778,1099
597,600,743,667,682,786,720,813,780,737,597,578,772,647,699,729,687,825,538,702,756,769,702,752,774,1034
600,600,744,674,660,760,718,835,777,762,594,582,753,641,670,770,681,875,539,709,781,780,709,697,751,1012
602,590,772,673,666,768,722,831,771,774,594,600,784,640,672,759,687,903,542,705,791,797,705,722,741,1000
597,581,732,676,665,770,717,814,801,777,599,607,812,643,676,800,697,912,543,707,795,789,707,727,758,1009
593,575,734,674,669,760,721,822,808,756,594,605,838,647,694,801,700,907,546,713,765,764,713,756,767,1100
589,567,745,671,653,748,715,815,803,700,588,600,852,654,729,777,677,886,547,719,782,752,719,722,766,994
588,565,741,678,663,718,723,805,799,684,583,601,821,646,717,759,668,858,547,715,760,760,715,721,743,990
595,567,736,679,661,690,716,822,811,672,587,599,812,648,754,740,670,845,549,723,745,758,723,694,738,1022
594,570,745,674,667,686,713,803,788,676,584,600,819,656,736,764,677,830,552,718,721,734,718,694,765,954
592,572,730,669,658,704,712,767,768,707,582,599,825,660,715,753,681,817,550,721,715,723,721,705,784,1062
587,597,731,670,668,718,715,749,749,745,578,597,830,660,717,775,676,816,551,722,719,729,722,713,783,1093
585,609,755,671,668,735,714,733,724,746,576,589,792,657,687,758,662,856,555,726,735,735,726,753,763,1019
582,646,776,669,660,761,714,724,729,764,586,600,794,654,687,746,654,858,553,725,750,735,725,730,756,1075
585,639,786,664,656,768,712,713,723,762,598,587,771,666,675,726,662,814,552,726,727,732,726,713,761,1087
593,646,806,665,662,767,712,709,719,746,600,584,776,669,671,738,671,887,553,722,723,771,722,704,767,980
590,646,799,670,661,741,716,727,728,728,596,586,787,671,669,731,672,833,552,724,743,812,724,687,762,1066
586,664,797,658,648,736,714,745,755,729,597,587,826,678,663,721,677,833,551,725,778,815,725,677,753,1113
585,658,832,654,656,727,715,701,790,720,605,583,832,665,657,713,671,835,551,719,748,770,719,690,741,991
592,664,789,657,665,729,712,693,832,712,606,576,813,676,673,707,672,825,550,720,727,780,720,768,751,1072
592,644,804,650,673,734,715,698,875,726,609,573,828,684,694,716,676,852,552,720,712,787,720,726,757,1132
589,653,814,645,653,732,711,683,864,725,607,576,829,687,704,692,679,883,550,718,718,785,718,706,748,997
592,656,822,645,671,743,712,681,877,717,611,573,824,684,750,693,669,892,550,707,734,756,707,703,737,994
590,649,835,646,666,734,714,702,877,729,614,575,840,672,754,709,673,900,552,708,737,758,708,730,728,996
561,650,841,640,644,742,714,685,869,716,620,580,822,675,738,709,682,857,550,729,727,777,729,700,720,1084
567,634,823,640,670,746,711,699,840,717,613,576,856,677,726,696,666,818,552,719,732,780,719,708,725,1089
591,651,804,644,680,748,716,708,842,710,620,580,850,682,695,726,646,798,550,718,759,748,718,735,732,969
596,649,807,645,684,761,721,721,841,712,616,581,831,684,682,753,655,785,552,712,789,712,712,748,706,990
585,651,820,640,667,767,722,747,840,716,613,578,865,685,668,780,665,777,553,718,771,704,718,703,692,993
584,657,817,644,679,761,729,770,816,704,608,578,858,676,646,806,659,786,554,706,745,705,706,693,693,1044
587,641,820,644,682,715,721,763,794,709,604,574,840,670,646,775,640,807,556,719,728,706,719,714,700,1085
591,642,829,640,666,680,720,782,806,719,599,576,864,664,647,751,643,854,555,709,724,687,709,743,710,1031
590,654,838,646,649,673,714,771,813,729,602,579,868,664,656,763,640,857,554,720,740,739,720,751,734,1076
592,650,780,641,667,696,709,766,823,715,591,577,865,664,677,783,632,833,555,729,754,750,729,730,765,1091
597,652,742,641,653,724,702,743,815,718,588,578,899,667,683,781,629,764,552,720,741,810,720,751,771,1066
596,645,736,649,668,722,701,719,828,728,580,578,864,668,694,805,634,750,553,717,753,826,717,710,752,1061
598,640,773,647,642,732,698,707,852,782,581,578,869,663,705,810,629,746,550,721,779,860,721,730,730,1107
593,646,812,648,633,755,700,687,860,773,586,580,829,663,706,780,646,751,548,720,776,794,720,705,753,999
601,657,779,654,617,764,698,714,842,787,582,579,808,649,699,782,650,872,548,713,772,808,713,710,753,1026
604,659,796,651,605,804,705,685,854,784,582,585,810,652,701,764,644,869,547,720,736,810,720,692,764,1095
610,638,792,652,599,806,708,671,843,765,576,584,797,661,688,775,668,901,543,703,718,807,703,688,749,1085
611,652,744,654,596,803,709,667,824,771,592,585,807,651,672,755,672,869,544,725,702,787,725,679,732,1122
